id;nom;prenom;cv;email_personnel
1;hé;direction prestataire de services extra;tic-tac puisque tellement;dynamique
2;avex avant que;pin-pon diplomate membre du personnel;contribuer camarade triathlète;presque
3;groin groin;sans que main-d’œuvre équipe de recherche;commettre;au cas où hi
4;sitôt que sur;hausser;de façon que;bè
5;quand;goûter grandement;transformer svelte;plancher incognito
6;trancher presque;libérer;évacuer jeune enfant contre;envers amuser
7;fabriquer;remuer fréquenter spécialiste;ainsi oh vivace;secours gratis naguère
8;soudain pourvu que;là;paf en outre de;à peu près ha ha
9;coucher par rapport à partenaire;élaborer ébranler;lorsque grrr lectorat;camarade nonobstant
10;pourvu que;avant que;à l'encontre de;au défaut de raide ferme
